contrast,age_band,n,auroc,ci_lo,ci_hi
abnormal,0-12,1497,0.721,0.696,0.747
abnormal,13-18,575,0.721,0.68,0.768
abnormal,19-30,1400,0.741,0.717,0.765
abnormal,31-45,1405,0.804,0.781,0.826
abnormal,46-60,2131,0.858,0.843,0.873
abnormal,61-75,2745,0.887,0.873,0.899
abnormal,76-100,1550,0.905,0.887,0.92
focal,0-12,598,0.869,0.833,0.903
focal,13-18,237,0.868,0.819,0.919
focal,19-30,663,0.907,0.878,0.933
focal,31-45,700,0.934,0.913,0.953
focal,46-60,1112,0.937,0.92,0.951
focal,61-75,1334,0.928,0.914,0.941
focal,76-100,723,0.928,0.911,0.948
generalized,0-12,1330,0.779,0.751,0.803
generalized,13-18,497,0.713,0.669,0.759
generalized,19-30,1174,0.723,0.693,0.75
generalized,31-45,1081,0.752,0.721,0.777
generalized,46-60,1502,0.824,0.803,0.844
generalized,61-75,1838,0.851,0.834,0.867
generalized,76-100,1032,0.884,0.861,0.905
