stage,age_band,n,AUROC
W,0–12,3171,0.552
W,12–18,1193,0.563
W,18–40,4792,0.616
W,40–60,4670,0.689
W,60–75,4483,0.715
W,75+,2577,0.718
N1,0–12,2732,0.524
N1,12–18,1097,0.559
N1,18–40,4269,0.619
N1,40–60,4265,0.693
N1,60–75,4147,0.727
N1,75+,2470,0.759
N2,0–12,3067,0.514
N2,12–18,1149,0.551
N2,18–40,3740,0.62
N2,40–60,3556,0.654
N2,60–75,3561,0.668
N2,75+,2129,0.669
N3,0–12,2319,0.502
N3,12–18,562,0.551
N3,18–40,1550,0.638
N3,40–60,1583,0.613
N3,60–75,1939,0.614
N3,75+,1232,0.592
REM,0–12,2579,0.53
REM,12–18,1132,0.559
REM,18–40,4192,0.628
REM,40–60,3680,0.661
REM,60–75,3324,0.71
REM,75+,1920,0.711
