X,Y,kappa,bal_acc,fire_rate
0.5,0.01,0.0,0.5,1.0
0.5,0.02,0.0,0.5,1.0
0.5,0.05,0.0,0.5,1.0
0.5,0.1,0.0,0.5,1.0
0.5,0.15,0.0,0.5,1.0
0.5,0.2,0.0,0.5,1.0
0.5,0.3,0.0,0.5,1.0
0.5,0.4,0.0008449780557936437,0.5004873294346979,0.9994477753234459
0.5,0.5,0.008791506115133574,0.505061165432288,0.9917166298516882
0.75,0.01,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
0.75,0.02,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
0.75,0.05,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
0.75,0.1,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
0.75,0.15,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
0.75,0.2,0.0004457485284015128,0.5002570840805853,0.9995266645629536
0.75,0.3,0.006780789094893547,0.5039044898173517,0.992663300725781
0.75,0.4,0.06495632048310007,0.5369068983586256,0.9363363837172609
0.75,0.5,0.1824163766383392,0.6002761220893921,0.8000946670874093
1.0,0.01,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
1.0,0.02,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
1.0,0.05,-0.00015778140451905287,0.4999089916272297,0.9999211107604923
1.0,0.1,0.0004457485284015128,0.5002570840805853,0.9995266645629536
1.0,0.15,0.0033270382077738025,0.5019174356633402,0.9963710949826443
1.0,0.2,0.017166590981171792,0.5098602034350124,0.982092142631745
1.0,0.3,0.11749328668006298,0.5659091708561944,0.8830861470495425
1.0,0.4,0.23563897884407503,0.6271137841367566,0.7243609971599874
1.0,0.5,0.33011455446730564,0.671253402486518,0.5718680971915431
1.25,0.01,-3.708437054594782e-05,0.4999786101179008,0.9998422215209846
1.25,0.02,-3.708437054594782e-05,0.4999786101179008,0.9998422215209846
1.25,0.05,0.0009286530601914089,0.5005355580432698,0.9992111076049227
1.25,0.1,0.010435361835092194,0.5060039422262326,0.9891921741874409
1.25,0.15,0.05272153094152032,0.5300511877112187,0.9497475544335753
1.25,0.2,0.12695621851841,0.5710667935056263,0.8743294414641842
1.25,0.3,0.26478745029995787,0.6416454972726886,0.6911486273272326
1.25,0.4,0.3579179074376765,0.6837782935679205,0.5327390343957085
1.25,0.5,0.4120173293597351,0.7047395923777814,0.41069738087724833
1.5,0.01,0.00020432312581863954,0.500117847099243,0.9996844430419691
1.5,0.02,0.0010493903876384048,0.5006051765339409,0.999132218365415
1.5,0.05,0.009370907556912167,0.5053933168479181,0.99061218049858
1.5,0.1,0.07479026474793105,0.5424071646170395,0.9277374566109182
1.5,0.15,0.17677969900301538,0.5976332298204963,0.8191069738087725
1.5,0.2,0.2604074488257889,0.6398065503117905,0.7054275796781319
1.5,0.3,0.3708805608576907,0.6900494065726952,0.5250867781634585
1.5,0.4,0.42203696799193247,0.7090730963233023,0.3994162196276428
1.5,0.5,0.4221572252707476,0.7042474983721894,0.3140580624802777
1.75,0.01,0.0011701321933839104,0.500674795024612,0.9990533291259073
1.75,0.02,0.005140446808870047,0.5029617130234071,0.9951877563900284
1.75,0.05,0.05156165849337491,0.5293977825687058,0.9508520037866834
1.75,0.1,0.18913564437451724,0.6041194581324484,0.8059324708109814
1.75,0.15,0.28921182815050506,0.6536223106404931,0.6633796150205112
1.75,0.2,0.3603634526479519,0.6860129280041912,0.5527769012306721
1.75,0.3,0.4227349779593562,0.7096132922201552,0.4028084569264752
1.75,0.4,0.4270652751716464,0.7064165692717415,0.31050804670242976
1.75,0.5,0.40239301259181104,0.6912208320826335,0.25055222467655414
2.0,0.01,0.006944503102420452,0.5040005415391003,0.9945566424739666
2.0,0.02,0.023370270750831645,0.5134107464592396,0.9780687914168508
2.0,0.05,0.13412574128307553,0.5749180113654276,0.8654149573998107
2.0,0.1,0.2900123606495938,0.65422122733927,0.6677974124329441
2.0,0.15,0.3719030700514323,0.6908836119745629,0.5312401388450615
2.0,0.2,0.42186708722881905,0.7110373160178689,0.43523193436415275
2.0,0.3,0.4296482236114405,0.7083634540381614,0.32249921110760493
2.0,0.4,0.4047642481085232,0.6924039409286473,0.25157778479015463
2.0,0.5,0.3675608487601981,0.6723764726705734,0.20455979804354685
2.5,0.01,0.045357701732886,0.525879527115325,0.953928684127485
2.5,0.02,0.12537852624695123,0.5700455280092396,0.866203849794888
2.5,0.05,0.3050364594410482,0.6611699738364234,0.6426317450299779
2.5,0.1,0.40551987434944037,0.703800819850865,0.4523508993373304
2.5,0.15,0.433433852605127,0.7118495993249312,0.3505837803723572
2.5,0.2,0.42254150760320874,0.7031590473575031,0.2918112969390975
2.5,0.3,0.3859488137903928,0.6817759573062008,0.2193909750710003
2.5,0.4,0.3387978904955926,0.6574488946550334,0.1732407699589776
2.5,0.5,0.28762307966520906,0.6323007291719571,0.13821394761754496
3.0,0.01,0.11970388672324628,0.5667062734293972,0.8557904701798674
3.0,0.02,0.24743517202265775,0.6326382787450363,0.6993531082360366
3.0,0.05,0.39390405410165197,0.6983970108095949,0.4604764910066267
3.0,0.1,0.4226681686996768,0.7043816920045534,0.3120858314925844
3.0,0.15,0.4046363649759084,0.692083498192555,0.24684443041969076
3.0,0.2,0.3723421440400956,0.674662579678578,0.2054275796781319
3.0,0.3,0.3086109812159744,0.642535635695638,0.15209845377090564
3.0,0.4,0.2579558864711117,0.6179867924067338,0.11912275165667403
3.0,0.5,0.21357874847096858,0.5969969568584326,0.0952193120858315
