X,Y,kappa,bal_acc,fire_rate
0.5,0.01,0.0,0.5,1.0
0.5,0.02,0.0,0.5,1.0
0.5,0.05,0.0,0.5,1.0
0.5,0.1,0.0,0.5,1.0
0.5,0.15,0.0,0.5,1.0
0.5,0.2,0.0,0.5,1.0
0.5,0.3,0.0,0.5,1.0
0.5,0.4,0.0004050531397935542,0.5002587322121604,0.9996850393700787
0.5,0.5,0.0075489470909633205,0.504808280471965,0.9917322834645669
0.75,0.01,0.0,0.5,1.0
0.75,0.02,0.0,0.5,1.0
0.75,0.05,0.0,0.5,1.0
0.75,0.1,0.0,0.5,1.0
0.75,0.15,0.0,0.5,1.0
0.75,0.2,0.000202515181507823,0.5001293661060802,0.9998425196850393
0.75,0.3,0.006404863669739691,0.504082320572855,0.9936220472440945
0.75,0.4,0.056692512260107075,0.5353688756081119,0.9344094488188976
0.75,0.5,0.15736668800477038,0.5934227616670267,0.8019685039370079
1.0,0.01,0.0,0.5,1.0
1.0,0.02,0.0,0.5,1.0
1.0,0.05,0.0,0.5,1.0
1.0,0.1,0.0003037813133133227,0.5001940491591204,0.999763779527559
1.0,0.15,0.0036834433525251287,0.502350194309453,0.9965354330708661
1.0,0.2,0.015682725299492217,0.5099544225247995,0.9820472440944882
1.0,0.3,0.09625526776252546,0.5589653054159367,0.8849606299212598
1.0,0.4,0.22044367985152502,0.6269456323972294,0.7239370078740157
1.0,0.5,0.3158653947648722,0.6713607648478191,0.5777165354330709
1.25,0.01,-0.0001574847425196424,0.49989939637826963,0.9999212598425197
1.25,0.02,-0.0001574847425196424,0.49989939637826963,0.9999212598425197
1.25,0.05,0.0002926165667436198,0.5001868910747799,0.9993700787401575
1.25,0.1,0.009825314115568418,0.5062529120388567,0.9893700787401575
1.25,0.15,0.04433411801410769,0.5278148841301366,0.9498425196850394
1.25,0.2,0.10412399589934018,0.5635294301383983,0.8741732283464567
1.25,0.3,0.25021118714662816,0.6421687954375672,0.6903149606299213
1.25,0.4,0.34515425635163166,0.6842127799136344,0.5391338582677165
1.25,0.5,0.40466280991225645,0.7048678877924728,0.4188188976377953
1.5,0.01,-5.62315795735735e-05,0.4999640794313097,0.9998425196850393
1.5,0.02,0.00045011965154329037,0.5002874946965102,0.9994488188976378
1.5,0.05,0.008241283116715459,0.5052467456745648,0.9903937007874015
1.5,0.1,0.06730440045100194,0.5418587853121315,0.9259055118110237
1.5,0.15,0.15325104319121052,0.5915244376999382,0.8175590551181102
1.5,0.2,0.24100140636471123,0.6377409346115503,0.7049606299212599
1.5,0.3,0.3534697176968038,0.6879144205465653,0.53
1.5,0.4,0.4149238677974031,0.7087064430567883,0.40448818897637795
1.5,0.5,0.42010037966797487,0.7030784968543473,0.3185826771653543
1.75,0.01,0.0010579291083558928,0.5006755930147508,0.998976377952756
1.75,0.02,0.004947139095356823,0.5031551534302842,0.9953543307086614
1.75,0.05,0.04559672622505173,0.5286053969352987,0.9496850393700788
1.75,0.1,0.16616023908931543,0.5987118051126943,0.8037795275590551
1.75,0.15,0.27168817097254416,0.6527274904276891,0.6637795275590551
1.75,0.2,0.34456589602739174,0.685167408070675,0.5552755905511811
1.75,0.3,0.4190652858440209,0.7112787982747715,0.40960629921259845
1.75,0.4,0.429340335746886,0.7071750034488952,0.31480314960629924
1.75,0.5,0.41818572783528296,0.6959040139934042,0.2530708661417323
2.0,0.01,0.006618500685820039,0.5042188447632757,0.9938582677165354
2.0,0.02,0.02048274672329453,0.5129802098490034,0.9775590551181103
2.0,0.05,0.112056447467617,0.5680935548608599,0.8633858267716535
2.0,0.1,0.27382334440302303,0.6540998904162361,0.6665354330708662
2.0,0.15,0.35841439921652885,0.6909036365671389,0.5344094488188976
2.0,0.2,0.41269503910315697,0.711269167397659,0.4436220472440945
2.0,0.3,0.4366796230335491,0.7119243273352924,0.3269291338582677
2.0,0.4,0.421451973520935,0.6975855130784708,0.2546456692913386
2.0,0.5,0.38033948656765315,0.6740895567453883,0.20598425196850395
2.5,0.01,0.039978671415555445,0.525126828239814,0.9547244094488189
2.5,0.02,0.10967385404507646,0.5667422386843701,0.867244094488189
2.5,0.05,0.29094782558704224,0.662028314778711,0.6407874015748032
2.5,0.1,0.3982034429965665,0.7050663619491855,0.45700787401574805
2.5,0.15,0.4433067303163254,0.7180306938656519,0.35551181102362206
2.5,0.2,0.43772596254120355,0.7092245582160492,0.2948031496062992
2.5,0.3,0.40318875305292334,0.6859747098372903,0.22149606299212599
2.5,0.4,0.3608997172801881,0.6627803040754228,0.17669291338582677
2.5,0.5,0.3176536232173319,0.6408498858610915,0.1432283464566929
3.0,0.01,0.10908558390453826,0.5661177934359065,0.8565354330708661
3.0,0.02,0.23611761283271626,0.6345722458945132,0.6979527559055118
3.0,0.05,0.3884294085341583,0.7006677841954704,0.4641732283464567
3.0,0.1,0.4411908648638172,0.7132975082057675,0.31881889763779525
3.0,0.15,0.42991962368385794,0.7013082375234589,0.2521259842519685
3.0,0.2,0.3970177277341612,0.6820158987560552,0.20921259842519685
3.0,0.3,0.34040818134709294,0.6520093393478594,0.15700787401574803
3.0,0.4,0.2887153313245866,0.6267013465007379,0.12322834645669291
3.0,0.5,0.24307863910535865,0.6053379787131586,0.09913385826771653
