X,Y,kappa,bal_acc,fire_rate
0.5,0.01,0.00034620889838365976,0.5001949269381969,0.9996055538024613
0.5,0.02,0.0008184958385812902,0.5004607959876312,0.999132218365415
0.5,0.05,0.008039975446185621,0.5045210847820247,0.9933733038813506
0.5,0.1,0.026280008221889473,0.5147334714460775,0.9784632376143894
0.5,0.15,0.0566441101123375,0.5315938952876287,0.9531397917324077
0.5,0.2,0.08889746680820221,0.5493043135223832,0.9254496686651941
0.5,0.3,0.15664348591005817,0.5857098184285319,0.859734932155254
0.5,0.4,0.22103335136426439,0.6192186969320739,0.7910224045440202
0.5,0.5,0.28156580361522277,0.6495094153845657,0.7171820763647838
0.75,0.01,0.0019846187345607946,0.5011171743842809,0.9985799936888609
0.75,0.02,0.005420495802151981,0.5030491998415576,0.9951877563900284
0.75,0.05,0.023011634637093437,0.5129068759494243,0.9806721363206059
0.75,0.1,0.06769762495247766,0.5376730846335858,0.9419375197223099
0.75,0.15,0.11890573638279522,0.5655197036545826,0.8937361943830862
0.75,0.2,0.16576033935309709,0.5905306046385552,0.8508204480908804
0.75,0.3,0.25108228366368823,0.6345655378047335,0.7608078258125591
0.75,0.4,0.3222485715738389,0.6695312254198442,0.6739507731145472
0.75,0.5,0.36307918078636103,0.6875445720158733,0.589775954559798
1.0,0.01,0.006556218260338698,0.503687023371871,0.9937677500788893
1.0,0.02,0.017498172444843307,0.5098205663751939,0.9837488166614073
1.0,0.05,0.060866662302452634,0.5338945978716761,0.9452508677816346
1.0,0.1,0.14236643807251392,0.5780864910892272,0.8714105396023982
1.0,0.15,0.2114906187824228,0.6143839441514658,0.8040391290627958
1.0,0.2,0.2643282162323828,0.6411725324246289,0.7443988639949511
1.0,0.3,0.34826195152656036,0.6816924276783748,0.6353739349952666
1.0,0.4,0.397448279154776,0.7033589652677104,0.5467813190280846
1.0,0.5,0.41706481382760785,0.7096596533305581,0.46781319028084567
1.25,0.01,0.018420788416611544,0.5103330941369043,0.98122436099716
1.25,0.02,0.04276124370994838,0.5238758272041769,0.958346481539918
1.25,0.05,0.13107724057472614,0.5719848140520036,0.8774850110444935
1.25,0.1,0.23868795040683366,0.6282198239385204,0.7717734301041338
1.25,0.15,0.3143498111282984,0.6657049397087854,0.6831808141369518
1.25,0.2,0.36251481630832216,0.6884956601781106,0.6199905332912591
