scale,feature,stat,stratum,rho,p,n,absrho
z,rel_theta,p90,generalized,-0.17874330420611168,0.0006799082237264601,358,0.17874330420611168
z,rel_theta,p99,generalized,-0.16813593185430137,0.0014084422856185076,358,0.16813593185430137
raw,TAR,mean,generalized,0.15898823436292714,0.0025538261591473176,358,0.15898823436292714
z,rel_theta,mean,generalized,-0.15667645484540124,0.002954154836840949,358,0.15667645484540124
raw,TAR,mean,all,0.15284577355706713,2.5309482745716968e-05,753,0.15284577355706713
raw,rel_theta,p99,generalized,-0.14083527525980616,0.007614021621711099,358,0.14083527525980616
z,TAR,mean,all,0.13626887655972636,0.00017639096976253106,753,0.13626887655972636
z,DAR,p90,focal,0.13024794477448756,0.0101233502429626,389,0.13024794477448756
z,rel_theta,median,generalized,-0.12907669964115956,0.014527986278964494,358,0.12907669964115956
raw,TAR,median,all,0.12888576354304557,0.0003916354794639958,753,0.12888576354304557
z,TAR,p99,focal,0.128762351812382,0.011021766344408166,389,0.128762351812382
raw,TAR,median,generalized,0.12749111600712273,0.015792930105101122,358,0.12749111600712273
z,TAR,mean,generalized,0.12600821905219325,0.017062206206451144,358,0.12600821905219325
z,TAR,mean,focal,0.12507097804378542,0.013566281317098616,389,0.12507097804378542
raw,rel_theta,p90,generalized,-0.1204105391952474,0.022690677067634855,358,0.1204105391952474
raw,TAR,mean,focal,0.11900035356554106,0.018882167752870223,389,0.11900035356554106
raw,TAR,p90,all,0.11813404218441315,0.0011634545652488863,753,0.11813404218441315
z,TAR,median,all,0.11781183210922647,0.0012004597070776723,753,0.11781183210922647
z,TAR,p90,focal,0.11460893419249908,0.02378274881937346,389,0.11460893419249908
raw,TAR,p90,generalized,0.11290679612185314,0.03270721194515323,358,0.11290679612185314
raw,TAR,p90,focal,0.11183670427096062,0.027412751457926647,389,0.11183670427096062
z,DAR,p90,generalized,0.11087771249233051,0.03599022561929007,358,0.11087771249233051
z,DAR,p90,all,0.11027707849678814,0.0024429807918425485,753,0.11027707849678814
z,TAR,p90,all,0.10824173720650627,0.002938948266880557,753,0.10824173720650627
raw,DTR,p99,generalized,-0.10756268895308073,0.04195476821275399,358,0.10756268895308073
z,TAR,median,focal,0.10561050741328482,0.037334479819954,389,0.10561050741328482
raw,TAR,median,focal,0.10478785571585059,0.038849366545672996,389,0.10478785571585059
z,DAR,mean,generalized,0.10369599836418097,0.049943606201582454,358,0.10369599836418097
z,low_freq_rel,p90,focal,0.10230284772139933,0.04374481872380783,389,0.10230284772139933
z,TAR,median,generalized,0.10211413996422897,0.053559530184737435,358,0.10211413996422897
raw,TAR,p99,focal,0.1017195448953817,0.044966267078599395,389,0.1017195448953817
raw,DAR,mean,generalized,0.10012991275743272,0.0584004071605847,358,0.10012991275743272
raw,log_delta,p99,focal,0.0999305851358124,0.04889238396760539,389,0.0999305851358124
raw,DAR,p90,focal,0.09799240837423857,0.053465409605496915,389,0.09799240837423857
z,DAR,mean,all,0.09780219489627054,0.007236556851719526,753,0.09780219489627054
z,rel_delta,p90,focal,0.09666754226553181,0.05679181841544407,389,0.09666754226553181
z,DAR,p99,all,0.09626331519241428,0.008210242477250313,753,0.09626331519241428
z,DAR,p99,generalized,0.09560644379995699,0.07079764693281729,358,0.09560644379995699
raw,rel_theta,mean,generalized,-0.09359493451515925,0.07696230921078524,358,0.09359493451515925
raw,log_delta,p99,all,0.09342440024155435,0.010317657934215546,753,0.09342440024155435
z,log_delta,p90,focal,0.09321212045051815,0.06628163955512795,389,0.09321212045051815
raw,DAR,mean,all,0.09117667695547485,0.012313723791481632,753,0.09117667695547485
z,log_delta,p99,generalized,0.09095794593286699,0.08569628483148048,358,0.09095794593286699
z,rel_theta,mean,all,-0.08947057662663875,0.014049446132486149,753,0.08947057662663875
z,rel_theta,p90,all,-0.08794550903660142,0.015779819186717604,753,0.08794550903660142
raw,low_freq_rel,p90,focal,0.08752954239070979,0.08468849311434713,389,0.08752954239070979
z,log_delta,p99,all,0.08648516844189702,0.017609306552564864,753,0.08648516844189702
raw,DAR,p90,all,0.08626959619818128,0.01789452105493207,753,0.08626959619818128
z,TAR,p90,generalized,0.08619094676991775,0.10349583912651279,358,0.08619094676991775
raw,log_delta,p99,generalized,0.08608868082109002,0.10390754121933772,358,0.08608868082109002
z,TAR,p99,all,0.08598055604865172,0.0182832716664892,753,0.08598055604865172
z,log_delta,p99,focal,0.08584828195490132,0.09086227284044121,389,0.08584828195490132
z,log_delta,p90,all,0.08044390844786321,0.02728892731130775,753,0.08044390844786321
z,DAR,median,all,0.07937169121094977,0.02941760040483317,753,0.07937169121094977
z,DAR,p99,focal,0.07831343995285509,0.12307826019258093,389,0.07831343995285509
z,rel_theta,median,all,-0.07807822084899936,0.032173845180091636,753,0.07807822084899936
z,log_delta,mean,focal,-0.07797718786569341,0.12470039243740305,389,0.07797718786569341
z,DAR,mean,focal,0.07702885832402834,0.12936479984064053,389,0.07702885832402834
raw,log_delta,mean,focal,-0.07701405994366425,0.1294386415168116,389,0.07701405994366425
raw,DAR,median,generalized,0.07479026718618124,0.15791235577340515,358,0.07479026718618124
z,DAR,median,generalized,0.07462033295247163,0.15886172790874248,358,0.07462033295247163
z,log_delta,p90,generalized,0.07406715953041665,0.16198194076203432,358,0.07406715953041665
raw,TAR,p99,all,0.07340258871482606,0.04405157500479263,753,0.07340258871482606
z,DAR,median,focal,0.07308900253517496,0.15019972478055008,389,0.07308900253517496
raw,DAR,median,all,0.07295660773819661,0.045356553609413396,753,0.07295660773819661
raw,rel_theta,median,generalized,-0.07229081171550916,0.1723130743982831,358,0.07229081171550916
raw,DAR,p90,generalized,0.07169395349370947,0.17589228064974524,358,0.07169395349370947
raw,DTR,p90,generalized,-0.07057170605199133,0.18277110452114398,358,0.07057170605199133
raw,DAR,mean,focal,0.06899046032348201,0.17448142588870674,389,0.06899046032348201
z,low_freq_rel,p99,focal,0.0678016571009006,0.18204321941078055,389,0.0678016571009006
raw,DAR,median,focal,0.06735018376683177,0.1849775315804326,389,0.06735018376683177
raw,log_delta,p90,focal,0.06429238562400648,0.20577359330299763,389,0.06429238562400648
raw,log_delta,p90,all,0.06245424796349868,0.08678203564134843,753,0.06245424796349868
raw,rel_theta,p90,all,-0.06215250214451486,0.08831911549355817,753,0.06215250214451486
z,log_delta,mean,all,-0.06135206340963668,0.09250280401171462,753,0.06135206340963668
z,rel_delta,p99,focal,0.06041274357188906,0.23452738077027777,389,0.06041274357188906
raw,low_freq_rel,p90,all,0.060255798333125644,0.09848877056929373,753,0.060255798333125644
raw,rel_delta,p90,focal,0.060068270162302886,0.23721109015880174,389,0.060068270162302886
z,rel_theta,p99,all,-0.059547747702697065,0.10251632544668819,753,0.059547747702697065
raw,log_delta,mean,all,-0.058346351970803345,0.10964819479982453,753,0.058346351970803345
raw,rel_theta,mean,all,-0.058127884531000054,0.11098617864433111,753,0.058127884531000054
raw,low_freq_rel,p99,focal,0.05477373852093053,0.2811946340197443,389,0.05477373852093053
raw,log_delta,p90,generalized,0.053223149813135445,0.31527289985925255,358,0.053223149813135445
raw,rel_theta,median,all,-0.05292241416929548,0.14682441536344293,753,0.05292241416929548
z,rel_delta,p90,all,0.05246307379130441,0.1503688087115675,753,0.05246307379130441
raw,DAR,p99,all,0.05070508122176547,0.16453708720963528,753,0.05070508122176547
z,low_freq_rel,p90,all,0.050413127435408954,0.16698415407630876,753,0.050413127435408954
raw,rel_theta,p99,all,-0.05027235083074462,0.16817380960026657,753,0.05027235083074462
raw,log_delta,mean,generalized,-0.04958241508498431,0.349562686065423,358,0.04958241508498431
raw,DTR,p99,all,-0.048838657104489286,0.18065319293742715,753,0.048838657104489286
raw,DAR,p99,focal,0.04780287923720439,0.34705154917354786,389,0.04780287923720439
z,low_freq_rel,mean,generalized,-0.047774433449571996,0.3674351283086643,358,0.047774433449571996
z,TAR,p99,generalized,0.044896592657192876,0.3970287365137951,358,0.044896592657192876
z,DTR,p90,generalized,0.04339591099239871,0.4130127717758917,358,0.04339591099239871
raw,rel_delta,p90,all,0.043279917497886296,0.23553528443508806,753,0.043279917497886296
z,rel_theta,p99,focal,0.04183255489253884,0.41063766629343795,389,0.04183255489253884
z,log_delta,mean,generalized,-0.04182426244985829,0.4301529787739038,358,0.04182426244985829
raw,low_freq_rel,p99,all,0.04113667944131008,0.25956190218312297,753,0.04113667944131008
z,log_delta,median,focal,0.03979962941842754,0.43377074230206364,389,0.03979962941842754
raw,DTR,median,generalized,-0.03914175818307465,0.46033839756627415,358,0.03914175818307465
z,low_freq_rel,p99,all,0.033885319686380505,0.35311521788707,753,0.033885319686380505
z,rel_delta,p90,generalized,0.03371462292023441,0.5248673719092937,358,0.03371462292023441
z,log_delta,median,generalized,0.032881598980274485,0.5351649886568897,358,0.032881598980274485
raw,rel_theta,p99,focal,0.03286802492087358,0.5180544902918593,389,0.03286802492087358
z,DTR,p90,all,0.032855773205058815,0.367941750873988,753,0.032855773205058815
raw,rel_theta,median,focal,-0.03279444408517438,0.5189923063509917,389,0.03279444408517438
z,rel_theta,median,focal,-0.03173615597352822,0.5325765474057305,389,0.03173615597352822
raw,DTR,mean,generalized,-0.031684032918306786,0.550144561998062,358,0.031684032918306786
z,log_delta,median,all,0.030791332860694957,0.39881662360933334,753,0.030791332860694957
z,DTR,mean,focal,-0.03078433075238627,0.5449454879629143,389,0.03078433075238627
raw,DTR,mean,focal,-0.02981544790465997,0.5576803267176305,389,0.02981544790465997
raw,low_freq_rel,p90,generalized,0.029493934816161808,0.5780599113848962,358,0.029493934816161808
raw,low_freq_rel,p99,generalized,0.02930798151150128,0.5804603317290955,358,0.02930798151150128
raw,DAR,p99,generalized,0.02912336720453407,0.5828480568897791,358,0.02912336720453407
z,DTR,p90,focal,0.028937821735845533,0.5693388265665208,389,0.028937821735845533
raw,TAR,p99,generalized,0.028413531052360066,0.5920710106306638,358,0.028413531052360066
z,rel_delta,p99,generalized,0.028243980469442768,0.5942838239579561,358,0.028243980469442768
z,low_freq_rel,median,generalized,-0.02820364316393134,0.5948108220926216,358,0.02820364316393134
raw,rel_delta,p90,generalized,0.028108406952993593,0.5960559050363373,358,0.028108406952993593
z,low_freq_rel,median,focal,0.02803327216481834,0.5814749303409388,389,0.02803327216481834
z,rel_delta,p99,all,0.02744926190229445,0.45197809468477157,753,0.02744926190229445
raw,rel_delta,p99,focal,0.025530905723136363,0.6156608200072149,389,0.025530905723136363
z,rel_delta,median,focal,0.02423091034970217,0.6337607694058176,389,0.02423091034970217
