stage,feature,arm,nominal,observed,lo,hi,n_obs,n_patients
W,relative delta,internal held-out normals,3,2.41,2.02,2.82,42631,1454
W,relative delta,internal held-out normals,10,9.66,8.73,10.67,42631,1454
W,relative delta,internal held-out normals,25,26.04,24.59,27.9,42631,1454
W,relative delta,internal held-out normals,50,51.2,49.55,53.23,42631,1454
W,relative delta,internal held-out normals,75,74.02,72.54,75.68,42631,1454
W,relative delta,internal held-out normals,90,89.48,88.48,90.46,42631,1454
W,relative delta,internal held-out normals,97,97.65,97.2,98.05,42631,1454
W,relative delta,external no-slowing (ON-100),3,1.38,0.16,3.22,1882,66
W,relative delta,external no-slowing (ON-100),10,7.76,4.07,12.75,1882,66
W,relative delta,external no-slowing (ON-100),25,21.15,14.81,28.52,1882,66
W,relative delta,external no-slowing (ON-100),50,46.6,39.26,54.52,1882,66
W,relative delta,external no-slowing (ON-100),75,71.73,64.17,77.9,1882,66
W,relative delta,external no-slowing (ON-100),90,88.58,84.06,92.51,1882,66
W,relative delta,external no-slowing (ON-100),97,96.76,94.61,98.41,1882,66
W,log TAR,internal held-out normals,3,1.71,1.2,2.24,42631,1454
W,log TAR,internal held-out normals,10,8.69,7.46,9.96,42631,1454
W,log TAR,internal held-out normals,25,24.95,23.04,26.87,42631,1454
W,log TAR,internal held-out normals,50,50.3,48.09,52.54,42631,1454
W,log TAR,internal held-out normals,75,74.79,72.97,76.54,42631,1454
W,log TAR,internal held-out normals,90,90.22,89.19,91.04,42631,1454
W,log TAR,internal held-out normals,97,98.45,98.17,98.72,42631,1454
W,log TAR,external no-slowing (ON-100),3,0.43,0.06,0.98,1882,66
W,log TAR,external no-slowing (ON-100),10,5.1,2.22,8.75,1882,66
W,log TAR,external no-slowing (ON-100),25,21.31,13.39,28.47,1882,66
W,log TAR,external no-slowing (ON-100),50,48.67,38.41,58.81,1882,66
W,log TAR,external no-slowing (ON-100),75,70.24,61.47,78.46,1882,66
W,log TAR,external no-slowing (ON-100),90,85.92,79.62,91.96,1882,66
W,log TAR,external no-slowing (ON-100),97,95.75,92.64,98.28,1882,66
W,log DAR,internal held-out normals,3,0.32,0.23,0.41,42631,1454
W,log DAR,internal held-out normals,10,4.61,3.98,5.32,42631,1454
W,log DAR,internal held-out normals,25,21.94,20.43,23.68,42631,1454
W,log DAR,internal held-out normals,50,48.59,46.63,50.7,42631,1454
W,log DAR,internal held-out normals,75,73.43,72.01,75.11,42631,1454
W,log DAR,internal held-out normals,90,88.88,87.86,89.93,42631,1454
W,log DAR,internal held-out normals,97,97.09,96.69,97.43,42631,1454
W,log DAR,external no-slowing (ON-100),3,1.28,0.06,3.31,1882,66
W,log DAR,external no-slowing (ON-100),10,5.31,2.12,9.34,1882,66
W,log DAR,external no-slowing (ON-100),25,20.83,14.48,28.06,1882,66
W,log DAR,external no-slowing (ON-100),50,50.16,41.79,58.7,1882,66
