mu_df,feature,stage,infant (2mo-1y),child (1-20y),adult (>20y)
9,rel_delta,W,0.11459950317147674,0.04541200442705153,0.03513998487949297
9,rel_delta,N1,0.12091803420488266,0.040634425910513625,0.023800517607780045
9,rel_delta,N2,0.13875965817911626,0.05365168213030421,0.031216177187424282
9,rel_delta,N3,0.11030854041789988,0.027782776338078408,0.033276372222871
9,rel_delta,REM,0.036037254362378396,0.055193327500749165,0.03509340555251993
9,TAR,W,0.19281551183716808,0.025832518077093004,0.015207776973541646
9,TAR,N1,0.5289487421056948,0.09345129394717785,0.007750081237152329
9,TAR,N2,0.1355035497605576,0.011710331419384844,0.00963521950021187
9,TAR,N3,0.07348359594589746,0.03398376937416941,0.02474118633666331
9,TAR,REM,0.5961591731540068,0.04031671592679234,0.005283111142737222
9,DAR,W,0.9695194126337995,0.02017536255631105,0.0012082245895644478
9,DAR,N1,0.5898556189480302,0.03251911434921322,0.0050365875758757095
9,DAR,N2,0.13066350692924458,0.026860414172065895,0.006442016330437741
9,DAR,N3,0.12214465035398074,0.04595435830446203,0.007000160643073863
9,DAR,REM,1.371890347151088,0.018763178624603513,0.009344145115095178
20,rel_delta,W,0.022441488937541873,0.0448883214884588,0.033579194013888126
20,rel_delta,N1,0.05856131270284363,0.05029954755307765,0.021807249245303216
20,rel_delta,N2,0.20462148542668218,0.05580659275542814,0.02855187898243605
20,rel_delta,N3,0.07790927415807447,0.03343568773409438,0.04001598587164381
20,rel_delta,REM,0.031543388716449114,0.03501958852162441,0.03707748747182587
20,TAR,W,0.14023187818227223,0.03204533595161469,0.010722936982607807
20,TAR,N1,0.03790275707113706,0.06288831636028391,0.012641761600762089
20,TAR,N2,0.09452409425272079,0.02337561736359126,0.017120841487069983
20,TAR,N3,0.07486771792088456,0.031074104364679233,0.016799580721618725
20,TAR,REM,0.07265392792478038,0.0451047583979068,0.012399372891367503
20,DAR,W,0.24084205522927699,0.012580996426158703,0.0022353579892406177
20,DAR,N1,0.21199845373776233,0.03799592855698618,0.0066301517900780324
20,DAR,N2,0.24632710100494776,0.040876981410340046,0.006567757255688754
20,DAR,N3,0.0676494873884593,0.039358355065740196,0.0074539057594818275
20,DAR,REM,0.5254115470230624,0.022164010857877225,0.009972354293857686
