axis,k,auroc_report_test,auroc_on100,n_report,n_on100
focal,1,0.6570899444163719,0.6837349397590362,5979,95
focal,2,0.6736596766043457,0.7319277108433735,5979,95
focal,3,0.6802609903991916,0.7620481927710844,5979,95
focal,5,0.6877870136432541,0.7640562248995983,5979,95
focal,8,0.6931325164224356,0.7761044176706827,5979,95
focal,10,0.6948837796867104,0.7771084337349398,5979,95
focal,15,0.6981048509348156,0.7781124497991967,5979,95
focal,20,0.7000077059120768,0.7831325301204819,5979,95
focal,30,0.7027625063163214,0.8092369477911647,5979,95
focal,50,0.703861925214755,0.8313253012048193,5979,95
generalized,1,0.6743769356050058,0.8821202531645569,5979,95
generalized,2,0.6884138798173887,0.9216772151898734,5979,95
generalized,3,0.6936805819261959,0.9343354430379747,5979,95
generalized,5,0.6999295376488358,0.9501582278481013,5979,95
generalized,8,0.7052897395002657,0.9628164556962024,5979,95
generalized,10,0.70729525834789,0.9683544303797468,5979,95
generalized,15,0.7104263183210553,0.9691455696202532,5979,95
generalized,20,0.7112759170653908,0.9699367088607596,5979,95
generalized,30,0.7122537826046598,0.9762658227848102,5979,95
generalized,50,0.7174025130165481,0.9699367088607594,5979,95
