stage,target,feature,ref,auc,lo,hi,n_pos,n_neg
W,abnormal,TAR,R_routine,0.7693003240009553,0.75417282861795,0.7833044799738668,5503,1451
W,abnormal,TAR,O_overnight,0.7501855074852348,0.7348642794358012,0.764001793687501,5503,1451
W,abnormal,TAR,U_union,0.7461527469572702,0.7312926927776094,0.7599392914512697,5503,1451
W,abnormal,DAR,R_routine,0.7120158630346733,0.6981432288479194,0.7275978676547742,5503,1451
W,abnormal,DAR,O_overnight,0.7008777744562111,0.6841609318278489,0.7154356099553606,5503,1451
W,abnormal,DAR,U_union,0.6967435718603712,0.6811983270870591,0.7120359587210874,5503,1451
W,abnormal,log_delta,R_routine,0.6597160899518125,0.6458303038942004,0.6742509145156287,5503,1451
W,abnormal,log_delta,O_overnight,0.6323959877533124,0.618230145570287,0.6477602704135204,5503,1451
W,abnormal,log_delta,U_union,0.6331705793456686,0.6191523680142467,0.6485574574657529,5503,1451
W,abnormal,log_theta,R_routine,0.6678086622258418,0.6546093391768684,0.6826730551823262,5503,1451
W,abnormal,log_theta,O_overnight,0.6391481471230591,0.6252082350817526,0.6552272989308731,5503,1451
W,abnormal,log_theta,U_union,0.6419162632048455,0.6281966547357755,0.6571940433860927,5503,1451
W,abnormal,rel_delta,R_routine,0.6630550368303587,0.6493010851012166,0.6799916041331625,5503,1451
W,abnormal,rel_delta,O_overnight,0.6546707873019078,0.6392019392594894,0.6708153169671222,5503,1451
W,abnormal,rel_delta,U_union,0.6494675606426317,0.6346157848230181,0.6658575038926519,5503,1451
W,gen_pathologic,TAR,R_routine,0.8480914793548651,0.8342238023896947,0.8602962535945354,3883,1451
W,gen_pathologic,TAR,O_overnight,0.8210168092089908,0.8073495051482723,0.8348822214522396,3883,1451
W,gen_pathologic,TAR,U_union,0.8171481371111204,0.8034208109157553,0.8322836162481614,3883,1451
W,gen_pathologic,DAR,R_routine,0.7937845310976666,0.7793679634796017,0.807957218422735,3883,1451
W,gen_pathologic,DAR,O_overnight,0.778576249864001,0.7635926499626575,0.7921591143677166,3883,1451
W,gen_pathologic,DAR,U_union,0.77393799652943,0.7576944900172146,0.7882917455770475,3883,1451
W,gen_pathologic,log_delta,R_routine,0.6949339865781199,0.6806766488926161,0.7071908149298954,3883,1451
W,gen_pathologic,log_delta,O_overnight,0.6570166693496702,0.6412780900905061,0.6728255065370667,3883,1451
W,gen_pathologic,log_delta,U_union,0.6587006607642956,0.6433840785260904,0.6749450682645415,3883,1451
W,gen_pathologic,log_theta,R_routine,0.67861552761485,0.6645588032866311,0.6935456811116795,3883,1451
W,gen_pathologic,log_theta,O_overnight,0.6391313600271766,0.6249632539591055,0.655622363745942,3883,1451
W,gen_pathologic,log_theta,U_union,0.6426132891557733,0.6264692646459111,0.6565156225472322,3883,1451
W,gen_pathologic,rel_delta,R_routine,0.7086279534410451,0.692746713024777,0.7247156882574167,3883,1451
W,gen_pathologic,rel_delta,O_overnight,0.695957373434858,0.6778520990398166,0.7124026739930216,3883,1451
W,gen_pathologic,rel_delta,U_union,0.6897918492188733,0.6732923718926503,0.704941892545223,3883,1451
W,focal,TAR,R_routine,0.7645592749775424,0.7511601382113455,0.7776022166636006,3691,1451
W,focal,TAR,O_overnight,0.7386678830787948,0.7220082741370757,0.75505612958582,3691,1451
W,focal,TAR,U_union,0.7345875124938359,0.7171640924184759,0.7494765273904164,3691,1451
W,focal,DAR,R_routine,0.7049525911090754,0.6877298241537286,0.7212066541777731,3691,1451
W,focal,DAR,O_overnight,0.6895126092282885,0.6738570933136838,0.7045161280060477,3691,1451
W,focal,DAR,U_union,0.6855496849023301,0.6659919755826069,0.7014235314413884,3691,1451
W,focal,log_delta,R_routine,0.6746746094445091,0.6604648450974826,0.6883755849531032,3691,1451
W,focal,log_delta,O_overnight,0.6405091379351229,0.6240535827605984,0.6590014776735604,3691,1451
W,focal,log_delta,U_union,0.6416686630041109,0.6250561883235367,0.6581059831868535,3691,1451
W,focal,log_theta,R_routine,0.6907059304385788,0.6726903415722013,0.7041030744104556,3691,1451
W,focal,log_theta,O_overnight,0.6533664224319741,0.6375413497976736,0.668260510163575,3691,1451
W,focal,log_theta,U_union,0.6567107466687927,0.6418343785782076,0.6735179634812847,3691,1451
W,focal,rel_delta,R_routine,0.6811608545083585,0.6649494872635895,0.6953676671381344,3691,1451
W,focal,rel_delta,O_overnight,0.669406892657667,0.6529507108276316,0.6880681703226016,3691,1451
W,focal,rel_delta,U_union,0.6643688402564698,0.6476871143773317,0.6807095184791813,3691,1451
N1,abnormal,TAR,R_routine,0.7666206803728255,0.7542872750697889,0.7805300826446625,5085,1315
N1,abnormal,TAR,O_overnight,0.7071269782518479,0.6927445497301395,0.7233583458647085,5085,1315
N1,abnormal,TAR,U_union,0.7123326267146719,0.6964502649696099,0.7269490031454603,5085,1315
N1,abnormal,DAR,R_routine,0.7722392334122203,0.7592624067033927,0.7852463980736992,5085,1315
N1,abnormal,DAR,O_overnight,0.7245960870524281,0.7077332914726273,0.7397262235849493,5085,1315
N1,abnormal,DAR,U_union,0.7280404978483649,0.7124237994382696,0.7424560063571803,5085,1315
N1,abnormal,log_delta,R_routine,0.7999690433729264,0.788207809428425,0.8122532274652282,5085,1315
